marker_id,marker_type,distance,horizontal,vertical,eye,sample_index,dx,dy
1,REF,40.0,0.0,0.0,L,0,-43.051882221274,27.5249714821159
1,REF,40.0,0.0,0.0,R,0,47.84548935333322,37.52646478864226
1,REF,40.0,0.0,0.0,L,1,-42.433808018378265,27.19693060092463
1,REF,40.0,0.0,0.0,R,1,47.77733979575727,37.99563811981826
1,REF,40.0,0.0,0.0,L,2,-42.36408634891188,27.336856753659738
1,REF,40.0,0.0,0.0,R,2,49.06349333298779,38.09972791291047
1,REF,40.0,0.0,0.0,L,3,-42.27637487005984,26.996701558348654
1,REF,40.0,0.0,0.0,R,3,49.21779552881395,38.324691757016105
1,REF,40.0,0.0,0.0,L,4,-42.297818379863855,26.73817787623203
1,REF,40.0,0.0,0.0,R,4,48.7192251254217,38.02995527132407
1,REF,40.0,0.0,0.0,L,5,-41.961968104831925,26.50344395967465
1,REF,40.0,0.0,0.0,R,5,48.25020502316626,37.788519326067444
1,REF,40.0,0.0,0.0,L,6,-41.286552804996575,26.938108524960782
1,REF,40.0,0.0,0.0,R,6,47.93212694923923,37.41017898246692
1,REF,40.0,0.0,0.0,L,7,-41.298170417013594,27.116761407079398
1,REF,40.0,0.0,0.0,R,7,48.34563731278402,37.41142913556809
1,REF,40.0,0.0,0.0,L,8,-42.34420152780276,27.211720356883788
1,REF,40.0,0.0,0.0,R,8,47.63349327885899,36.908920215398744
1,REF,40.0,0.0,0.0,L,9,-41.75147097319639,25.886172761897953
1,REF,40.0,0.0,0.0,R,9,46.59466736098359,36.114358539576244
1,REF,40.0,0.0,0.0,L,10,-41.69873656497958,25.767467131384535
1,REF,40.0,0.0,0.0,R,10,47.46223244693353,35.842649675047014
1,REF,40.0,0.0,0.0,L,11,-41.74405739887116,26.061461593723504
1,REF,40.0,0.0,0.0,R,11,47.3210046396779,36.97572193535932
1,REF,40.0,0.0,0.0,L,12,-42.02435182891692,26.997274779715397
1,REF,40.0,0.0,0.0,R,12,45.28002691628233,38.803172857534065
1,REF,40.0,0.0,0.0,L,13,-42.94123333901789,27.903162115696855
1,REF,40.0,0.0,0.0,R,13,46.889762608473966,37.5874709721727
1,REF,40.0,0.0,0.0,L,14,-42.02594003563292,27.237011149037237
1,REF,40.0,0.0,0.0,R,14,47.75358273663045,37.09683856571714
1,REF,40.0,0.0,0.0,L,15,-41.90325826322743,27.639875735805617
1,REF,40.0,0.0,0.0,R,15,48.597976291132035,36.94204095554504
1,REF,40.0,0.0,0.0,L,16,-41.837627915959466,27.607358812571327
1,REF,40.0,0.0,0.0,R,16,47.545461333538114,37.76195274178599
1,REF,40.0,0.0,0.0,L,17,-41.15499938618122,27.682452558327604
1,REF,40.0,0.0,0.0,R,17,47.764288971614874,37.11132200360794
1,REF,40.0,0.0,0.0,L,18,-41.67356669114045,27.317053920204977
1,REF,40.0,0.0,0.0,R,18,48.00735237393611,36.8709249434909
1,REF,40.0,0.0,0.0,L,19,-41.01957050883557,26.467860311002433
1,REF,40.0,0.0,0.0,R,19,45.973661810277555,38.628717816438964
1,REF,40.0,0.0,0.0,L,20,-40.61050832722757,26.680022189799924
1,REF,40.0,0.0,0.0,R,20,47.32481365240835,37.618794035769554
1,REF,40.0,0.0,0.0,L,21,-41.29167686345732,27.038461410000757
1,REF,40.0,0.0,0.0,R,21,48.14093584181444,36.77475184199385
1,REF,40.0,0.0,0.0,L,22,-41.05062362741884,27.19794471543387
1,REF,40.0,0.0,0.0,R,22,48.218167038751766,37.07058126807335
1,REF,40.0,0.0,0.0,L,23,-40.57157109801609,26.866972487143965
1,REF,40.0,0.0,0.0,R,23,45.660296024339004,39.403882410684865
1,REF,40.0,0.0,0.0,L,24,-40.565584988472146,26.795909208433233
1,REF,40.0,0.0,0.0,R,24,45.02910327149493,39.59473481969989
1,REF,40.0,0.0,0.0,L,25,-40.92228207777205,27.39288941287779
1,REF,40.0,0.0,0.0,R,25,45.613181229468545,39.332720049303184
1,REF,40.0,0.0,0.0,L,26,-40.50216943790202,27.397339252168006
1,REF,40.0,0.0,0.0,R,26,46.89618872060385,38.32852182640841
1,REF,40.0,0.0,0.0,L,27,-40.79964184115829,27.187011481715544
1,REF,40.0,0.0,0.0,R,27,47.51841649259242,36.53689334403998
1,REF,40.0,0.0,0.0,L,28,-41.066474979340406,27.149794793243903
1,REF,40.0,0.0,0.0,R,28,46.34761635456525,37.25625055596051
1,REF,40.0,0.0,0.0,L,29,-29.049829578043127,54.72859028892985
1,REF,40.0,0.0,0.0,R,29,46.11581910601505,37.589500104259905
1,REF,40.0,0.0,0.0,L,30,-38.317731211673134,33.24237996012985
1,REF,40.0,0.0,0.0,R,30,46.50030760068952,38.39203449294299
1,REF,40.0,0.0,0.0,L,31,-40.05302033672369,28.836253432114454
1,REF,40.0,0.0,0.0,R,31,46.15400510157689,39.02959652693213
1,REF,40.0,0.0,0.0,L,32,-40.25545943841604,27.863591845451026
1,REF,40.0,0.0,0.0,R,32,46.38747451451097,38.38682501911211
1,REF,40.0,0.0,0.0,L,33,-40.66329442925977,26.94480531838402
1,REF,40.0,0.0,0.0,R,33,47.07712763594494,38.434099741541004
1,REF,40.0,0.0,0.0,L,34,-40.73013761852683,27.612036533086865
1,REF,40.0,0.0,0.0,R,34,47.510203185062906,38.037909034138124
1,REF,40.0,0.0,0.0,L,35,-41.12238726171452,27.24722565899337
1,REF,40.0,0.0,0.0,R,35,48.39036311955183,38.229722878265626
1,REF,40.0,0.0,0.0,L,36,-40.909959777441244,26.696331413419156
1,REF,40.0,0.0,0.0,R,36,48.54427422099428,38.14456405761688
1,REF,40.0,0.0,0.0,L,37,-40.717672505698985,26.87724935747052
1,REF,40.0,0.0,0.0,R,37,48.72341287534167,38.22879232635974
1,REF,40.0,0.0,0.0,L,38,-42.06652393766202,27.68048168525695
1,REF,40.0,0.0,0.0,R,38,48.97473436780411,37.67868328411109
1,REF,40.0,0.0,0.0,L,39,-42.41320208160525,27.443893350523172
1,REF,40.0,0.0,0.0,R,39,48.97339181921238,38.241302789283026
1,REF,40.0,0.0,0.0,L,40,-42.158177556883984,27.498488901395362
1,REF,40.0,0.0,0.0,R,40,48.19441963001414,37.426105194457335
1,REF,40.0,0.0,0.0,L,41,-41.4948395325054,26.197778254559076
1,REF,40.0,0.0,0.0,R,41,48.08747995816697,37.203801322012595
1,REF,40.0,0.0,0.0,L,42,-41.246016622855755,26.450839178652394
1,REF,40.0,0.0,0.0,R,42,48.531569728773945,38.01887109300864
1,REF,40.0,0.0,0.0,L,43,-41.35410868767805,26.96190194595443
1,REF,40.0,0.0,0.0,R,43,48.88564199686465,38.15359862727266
1,REF,40.0,0.0,0.0,L,44,-41.16551827309108,26.647217568724272
1,REF,40.0,0.0,0.0,R,44,48.49439810053035,37.35992746550436
1,REF,40.0,0.0,0.0,L,45,-41.81404295764183,27.18376089913886
1,REF,40.0,0.0,0.0,R,45,45.96731617504529,39.649603249873785
1,REF,40.0,0.0,0.0,L,46,-42.55069563152567,26.799083155401195
1,REF,40.0,0.0,0.0,R,46,46.540550829300464,38.435736390206706
1,REF,40.0,0.0,0.0,L,47,-42.46656403267724,27.2559630660856
1,REF,40.0,0.0,0.0,R,47,46.086941425158074,38.176977914407175
1,REF,40.0,0.0,0.0,L,48,-41.97788826778054,27.503641608643157
1,REF,40.0,0.0,0.0,R,48,46.247513573504094,38.423801719331905
1,REF,40.0,0.0,0.0,L,49,-41.88024279159461,27.605986545151737
1,REF,40.0,0.0,0.0,R,49,46.277318528347614,38.477645259432464
1,REF,40.0,0.0,0.0,L,50,-42.08580292084066,27.819296220494085
1,REF,40.0,0.0,0.0,R,50,45.82737206639384,38.91122984964901
1,REF,40.0,0.0,0.0,L,51,-41.859726336535175,28.00661775304314
1,REF,40.0,0.0,0.0,R,51,46.819261557172936,38.592717587346016
1,REF,40.0,0.0,0.0,L,52,-41.93647138058903,27.767797392465706
1,REF,40.0,0.0,0.0,R,52,47.62483921604098,38.39217321551469
1,REF,40.0,0.0,0.0,L,53,-41.71355562568121,27.874013514296465
1,REF,40.0,0.0,0.0,R,53,47.31047305688994,38.36548227407792
1,REF,40.0,0.0,0.0,L,54,-42.00088722866248,27.745593326774646
1,REF,40.0,0.0,0.0,R,54,47.07913174969615,38.65823623000587
1,REF,40.0,0.0,0.0,L,55,-41.80278534645229,27.43902617372581
1,REF,40.0,0.0,0.0,R,55,47.163642050336776,38.108772876935
1,REF,40.0,0.0,0.0,L,56,-36.35638033743916,35.78361936193974
1,REF,40.0,0.0,0.0,R,56,45.910535778240394,40.260166166861
1,REF,40.0,0.0,0.0,L,57,-40.864780923465666,29.14622355130562
1,REF,40.0,0.0,0.0,R,57,46.4250585987332,38.64279518776681
1,REF,40.0,0.0,0.0,L,58,-41.82764840101352,28.21267407866648
1,REF,40.0,0.0,0.0,R,58,46.458237810164846,38.35050287632572
1,REF,40.0,0.0,0.0,L,59,-41.93580621314119,27.979413838822683
1,REF,40.0,0.0,0.0,R,59,46.43099012802766,38.62342597637718
1,REF,40.0,0.0,0.0,L,60,-42.01015163082607,28.049124402530836
1,REF,40.0,0.0,0.0,R,60,47.19384269395961,38.988988324455896
1,REF,40.0,0.0,0.0,L,61,-42.48771013464164,28.089459153714955
1,REF,40.0,0.0,0.0,R,61,37.51331034482409,61.235827662588775
1,REF,40.0,0.0,0.0,L,62,-41.75963315391671,28.31028771711046
1,REF,40.0,0.0,0.0,R,62,45.653607048697864,43.60914833123922
1,REF,40.0,0.0,0.0,L,63,-41.953740850216505,28.714244417990088
1,REF,40.0,0.0,0.0,R,63,45.6609807913723,40.90667116321763
1,REF,40.0,0.0,0.0,L,64,-37.32085442727853,36.60538012307224
1,REF,40.0,0.0,0.0,R,64,47.09642545342566,40.18442357327089
1,REF,40.0,0.0,0.0,L,65,-40.846728000886955,30.484170307116052
1,REF,40.0,0.0,0.0,R,65,46.672813492627,39.31539695891963
1,REF,40.0,0.0,0.0,L,66,-41.8310851892199,28.620353295089075
1,REF,40.0,0.0,0.0,R,66,46.99013335329654,39.04596608152639
1,REF,40.0,0.0,0.0,L,67,-41.43129654728426,27.67920045968296
