marker_id,marker_type,distance,horizontal,vertical,eye,sample_index,dx,dy
1,REF,40.0,0.0,0.0,L,0,-43.18084336991603,26.720534572036005
1,REF,40.0,0.0,0.0,R,0,49.677177144903354,39.51807648849593
1,REF,40.0,0.0,0.0,L,1,-43.359831884512396,26.7252997207814
1,REF,40.0,0.0,0.0,R,1,49.603102418884944,39.15750391640943
1,REF,40.0,0.0,0.0,L,2,-43.57082438800761,26.80645216185805
1,REF,40.0,0.0,0.0,R,2,50.16765125415647,38.79359178115595
1,REF,40.0,0.0,0.0,L,3,-36.19535588642552,31.836154895487383
1,REF,40.0,0.0,0.0,R,3,55.19491099308707,43.1911796659915
1,REF,40.0,0.0,0.0,L,4,-33.99122859117389,33.66338099157255
1,REF,40.0,0.0,0.0,R,4,57.5936937646071,44.77078358546295
1,REF,40.0,0.0,0.0,L,5,-33.62892757288627,33.740190938155564
1,REF,40.0,0.0,0.0,R,5,57.97998698537751,45.83584840750489
1,REF,40.0,0.0,0.0,L,6,-31.672413280637898,34.96373873949455
1,REF,40.0,0.0,0.0,R,6,58.08723393758145,47.55952903868477
1,REF,40.0,0.0,0.0,L,7,-31.496073600043907,36.38281576627823
1,REF,40.0,0.0,0.0,R,7,57.99001432517457,48.31523943962952
1,REF,40.0,0.0,0.0,L,8,-31.326335076592155,36.92950371020377
1,REF,40.0,0.0,0.0,R,8,57.39187903776265,48.08468460925515
1,REF,40.0,0.0,0.0,L,9,-31.383773612620097,36.968302996702775
1,REF,40.0,0.0,0.0,R,9,56.76603792165896,47.74843596295153
1,REF,40.0,0.0,0.0,L,10,-31.221494604571472,36.23144353471185
1,REF,40.0,0.0,0.0,R,10,58.0167161350649,48.105295031852926
1,REF,40.0,0.0,0.0,L,11,-30.438020396694352,37.06975519452108
1,REF,40.0,0.0,0.0,R,11,58.26491810662016,48.71372725782777
1,REF,40.0,0.0,0.0,L,12,-31.19328907350573,36.598423156169645
1,REF,40.0,0.0,0.0,R,12,59.01925252567389,48.70562251412836
1,REF,40.0,0.0,0.0,L,13,-31.2893180485393,37.049711229672525
1,REF,40.0,0.0,0.0,R,13,59.57513499465581,48.86068379883794
1,REF,40.0,0.0,0.0,L,14,-31.042632384327437,37.27893801038562
1,REF,40.0,0.0,0.0,R,14,58.962492451327485,49.11736298749888
1,REF,40.0,0.0,0.0,L,15,-30.699654299277398,36.83170786761933
1,REF,40.0,0.0,0.0,R,15,59.03018350802398,49.05302252106877
1,REF,40.0,0.0,0.0,L,16,-30.460408158392323,36.813411695710776
1,REF,40.0,0.0,0.0,R,16,58.74674702614888,49.032283473775
1,REF,40.0,0.0,0.0,L,17,-30.005616902959133,36.98493462062893
1,REF,40.0,0.0,0.0,R,17,58.36670839818468,49.01449635242718
1,REF,40.0,0.0,0.0,L,18,-30.79435222802934,36.641613160484695
1,REF,40.0,0.0,0.0,R,18,58.947089390931694,48.59780003300903
1,REF,40.0,0.0,0.0,L,19,-30.687106509413987,36.97067776097911
1,REF,40.0,0.0,0.0,R,19,58.52964179561644,48.85936088708396
1,REF,40.0,0.0,0.0,L,20,-31.635794979401044,36.70898386332503
1,REF,40.0,0.0,0.0,R,20,59.44404787889183,48.83212671414616
1,REF,40.0,0.0,0.0,L,21,-32.09446269117467,36.00696673988021
1,REF,40.0,0.0,0.0,R,21,59.40765755850941,48.98294274048112
1,REF,40.0,0.0,0.0,L,22,-31.074498420289874,36.34060337757505
1,REF,40.0,0.0,0.0,R,22,59.28201855844675,48.25574989190159
1,REF,40.0,0.0,0.0,L,23,-30.985113999613333,36.32288205678907
1,REF,40.0,0.0,0.0,R,23,58.39594416383967,48.42365470544183
1,REF,40.0,0.0,0.0,L,24,-30.705519186376435,36.4314832458787
1,REF,40.0,0.0,0.0,R,24,58.42965713981908,48.499413888941135
1,REF,40.0,0.0,0.0,L,25,-30.413048474049436,36.1600593321635
1,REF,40.0,0.0,0.0,R,25,57.50580270963993,48.49333668190868
1,REF,40.0,0.0,0.0,L,26,-30.604768536168102,36.21405485232105
1,REF,40.0,0.0,0.0,R,26,57.01949700508021,48.73973973424618
1,REF,40.0,0.0,0.0,L,27,-31.517407301897016,36.066459002232676
1,REF,40.0,0.0,0.0,R,27,57.62820128255203,48.731949708582604
1,REF,40.0,0.0,0.0,L,28,-31.115106682440725,36.3508206005984
1,REF,40.0,0.0,0.0,R,28,57.46835950176424,48.610894396429885
2,DIST,8.0,0.0,0.0,L,0,-33.025673839700474,35.56070583670602
2,DIST,8.0,0.0,0.0,R,0,58.31580951361601,48.68277725226356
2,DIST,8.0,0.0,0.0,L,1,-33.311441582488094,35.69242143361555
2,DIST,8.0,0.0,0.0,R,1,57.96798011486659,48.76086620492674
