marker_id,marker_type,distance,horizontal,vertical,eye,sample_index,dx,dy
1,REF,40.0,0.0,0.0,L,0,-46.71266176223124,28.387758283348685
1,REF,40.0,0.0,0.0,R,0,59.38563531286373,34.26219607160751
1,REF,40.0,0.0,0.0,L,1,-46.503733234812096,29.01793197049089
1,REF,40.0,0.0,0.0,R,1,57.062873354622056,37.664323198026096
1,REF,40.0,0.0,0.0,L,2,-40.557051876594386,30.945501764344847
1,REF,40.0,0.0,0.0,R,2,62.47923928903542,40.56992044726176
1,REF,40.0,0.0,0.0,L,3,-39.479397126819315,31.711346259070773
1,REF,40.0,0.0,0.0,R,3,63.94568665146208,41.0538865777369
1,REF,40.0,0.0,0.0,L,4,-39.240463998006405,31.85853896286713
1,REF,40.0,0.0,0.0,R,4,64.49268856758356,41.70484019718547
1,REF,40.0,0.0,0.0,L,5,-39.31933746160699,30.91388067576243
1,REF,40.0,0.0,0.0,R,5,76.433237515201,26.93344401568526
1,REF,40.0,0.0,0.0,L,6,-39.6745537618611,30.82771117171621
1,REF,40.0,0.0,0.0,R,6,79.66855879660775,24.16654048319299
1,REF,40.0,0.0,0.0,L,7,-37.72385778850686,31.606304485227078
1,REF,40.0,0.0,0.0,R,7,80.14230290401986,23.148206341867194
1,REF,40.0,0.0,0.0,L,8,-37.92868968138769,31.126510228700077
1,REF,40.0,0.0,0.0,R,8,81.49389171700479,22.892432662016493
1,REF,40.0,0.0,0.0,L,9,-36.66043523012593,31.31446566290944
1,REF,40.0,0.0,0.0,R,9,81.03729832986782,22.65432782699685
1,REF,40.0,0.0,0.0,L,10,-37.0611593304601,30.87303920403487
1,REF,40.0,0.0,0.0,R,10,80.3032265698103,22.552007927192506
1,REF,40.0,0.0,0.0,L,11,-36.77525998563267,30.88568724523359
1,REF,40.0,0.0,0.0,R,11,80.25416456056838,22.76847924651819
1,REF,40.0,0.0,0.0,L,12,-36.74023812804918,30.716417949520107
1,REF,40.0,0.0,0.0,R,12,68.99553104633434,38.17328970871732
1,REF,40.0,0.0,0.0,L,13,-37.57847743545166,30.533172296157144
1,REF,40.0,0.0,0.0,R,13,66.7821834561579,41.932982304149
1,REF,40.0,0.0,0.0,L,14,-36.65660807927063,31.048329705209937
1,REF,40.0,0.0,0.0,R,14,65.92246492301085,41.99230121309371
1,REF,40.0,0.0,0.0,L,15,-38.156233320219044,31.090941632960096
1,REF,40.0,0.0,0.0,R,15,66.33891618240321,42.14012642433695
1,REF,40.0,0.0,0.0,L,16,-38.28639272769854,30.81346699787824
1,REF,40.0,0.0,0.0,R,16,77.27770572121705,27.02577291205601
1,REF,40.0,0.0,0.0,L,17,-37.950792136248,30.953156152036883
1,REF,40.0,0.0,0.0,R,17,79.7121839561928,23.850936876059944
1,REF,40.0,0.0,0.0,L,18,-37.59124812687458,30.436271123948934
1,REF,40.0,0.0,0.0,R,18,67.75352199123299,37.97433560782512
1,REF,40.0,0.0,0.0,L,19,-37.64068715002829,30.747937646366882
1,REF,40.0,0.0,0.0,R,19,65.14808395711354,41.055037235136055
1,REF,40.0,0.0,0.0,L,20,-36.83015060562626,31.577788763903357
1,REF,40.0,0.0,0.0,R,20,64.28915950042864,42.873332628533305
1,REF,40.0,0.0,0.0,L,21,-37.70786707490399,31.216427090937362
1,REF,40.0,0.0,0.0,R,21,64.51093835824143,42.52871464743913
1,REF,40.0,0.0,0.0,L,22,-38.081548490560856,30.712382847889216
1,REF,40.0,0.0,0.0,R,22,64.73952584954026,41.87672489117887
1,REF,40.0,0.0,0.0,L,23,-38.74401542134456,30.661773533613154
1,REF,40.0,0.0,0.0,R,23,66.45921317002585,42.93655277796362
1,REF,40.0,0.0,0.0,L,24,-38.6514992266606,30.65502653122109
1,REF,40.0,0.0,0.0,R,24,77.81361329765782,27.02190005253004
2,DIST,8.0,0.0,0.0,L,0,-37.89990342475782,30.805237353222523
2,DIST,8.0,0.0,0.0,R,0,64.87584599803031,41.932653965905054
2,DIST,8.0,0.0,0.0,L,1,-38.09452284601037,30.59248070293397
2,DIST,8.0,0.0,0.0,R,1,65.09929311507119,41.8677786152366
2,DIST,8.0,0.0,0.0,L,2,-38.277600570013945,30.014842372146184
2,DIST,8.0,0.0,0.0,R,2,65.22838454359741,42.96680691491674
2,DIST,8.0,0.0,0.0,L,3,-38.61004654928294,29.94587624267106
2,DIST,8.0,0.0,0.0,R,3,65.82763112543229,42.60308999866119
2,DIST,8.0,0.0,0.0,L,4,-38.94095813307076,30.290966992436942
2,DIST,8.0,0.0,0.0,R,4,65.08352965468987,40.95685080391607
2,DIST,8.0,0.0,0.0,L,5,-39.0787263382147,30.00023339686521
2,DIST,8.0,0.0,0.0,R,5,65.72061351391241,41.12738415532145
2,DIST,8.0,0.0,0.0,L,6,-39.21006755819059,30.200059944817248
2,DIST,8.0,0.0,0.0,R,6,65.43456936850993,41.64964289999678
2,DIST,8.0,0.0,0.0,L,7,-40.17034548829039,30.41982617561517
2,DIST,8.0,0.0,0.0,R,7,64.43639323918877,41.634584144066245
2,DIST,8.0,0.0,0.0,L,8,-38.84947218270508,29.754557674123653
2,DIST,8.0,0.0,0.0,R,8,64.77947868361669,40.127526920539935
2,DIST,8.0,0.0,0.0,L,9,-38.31059460657989,28.64707368649407
2,DIST,8.0,0.0,0.0,R,9,64.71918500754683,39.90961545637672
2,DIST,8.0,0.0,0.0,L,10,-39.39357347138236,28.76291840526803
2,DIST,8.0,0.0,0.0,R,10,63.397467505277916,40.10343113337962
2,DIST,8.0,0.0,0.0,L,11,-39.781059544422725,29.94603487966497
2,DIST,8.0,0.0,0.0,R,11,64.15144199786359,42.393069354594296
2,DIST,8.0,0.0,0.0,L,12,-39.89621233337229,30.576902434978514
2,DIST,8.0,0.0,0.0,R,12,63.98453947866804,42.97193040414783
2,DIST,8.0,0.0,0.0,L,13,-40.329631665961934,30.4762723941851
2,DIST,8.0,0.0,0.0,R,13,63.512298869659574,43.202893723705905
2,DIST,8.0,0.0,0.0,L,14,-40.84648839153962,30.2038712761087
2,DIST,8.0,0.0,0.0,R,14,61.73936214473583,41.98408590288366
2,DIST,8.0,0.0,0.0,L,15,-40.27022572908913,30.009169052016667
2,DIST,8.0,0.0,0.0,R,15,63.152900888360264,42.19691096900475
2,DIST,8.0,0.0,0.0,L,16,-39.66037203906217,30.667361856041133
2,DIST,8.0,0.0,0.0,R,16,62.8030159490975,41.92498601935937
2,DIST,8.0,0.0,0.0,L,17,-39.30688367857619,29.873788639959894
2,DIST,8.0,0.0,0.0,R,17,62.51130925012663,41.91195486318945
2,DIST,8.0,0.0,0.0,L,18,-38.318030671199395,30.099923547981867
2,DIST,8.0,0.0,0.0,R,18,63.09312309168365,41.84744134915871
2,DIST,8.0,0.0,0.0,L,19,-38.557468070060466,30.233199838630107
2,DIST,8.0,0.0,0.0,R,19,63.436506188218914,41.6634954896403
2,DIST,8.0,0.0,0.0,L,20,-38.30402736648145,29.857940254192822
2,DIST,8.0,0.0,0.0,R,20,63.15933974123952,42.220058036347005
2,DIST,8.0,0.0,0.0,L,21,-38.477325640064,29.240989563105014
2,DIST,8.0,0.0,0.0,R,21,62.65753494942099,41.855609864511976
2,DIST,8.0,0.0,0.0,L,22,-38.76310754177234,27.888477783523307
2,DIST,8.0,0.0,0.0,R,22,62.732370881109134,38.38433018646338
2,DIST,8.0,0.0,0.0,L,23,-39.023207382868804,27.30668199426587
2,DIST,8.0,0.0,0.0,R,23,62.846745944885484,38.977368446752926
2,DIST,8.0,0.0,0.0,L,24,-38.53867664461709,27.293051132122923
2,DIST,8.0,0.0,0.0,R,24,62.993665329015585,38.71200096378265
2,DIST,8.0,0.0,0.0,L,25,-39.20420739423436,27.045888082331942
2,DIST,8.0,0.0,0.0,R,25,63.31068996401169,39.271320257403836
3,DIST,4.0,0.0,0.0,L,0,-38.85729429503829,27.75664946107708
3,DIST,4.0,0.0,0.0,R,0,64.11714446265864,37.69180577948851
3,DIST,4.0,0.0,0.0,L,1,-39.122807751007,27.637743880912595
3,DIST,4.0,0.0,0.0,R,1,64.07543057864208,37.614221224699804
3,DIST,4.0,0.0,0.0,L,2,-38.42156786193168,27.367552506699056
3,DIST,4.0,0.0,0.0,R,2,64.28793564383228,38.187976588888475
3,DIST,4.0,0.0,0.0,L,3,-37.72129429272569,41.47765599824403
3,DIST,4.0,0.0,0.0,R,3,64.23258123072628,37.77115448996989
3,DIST,4.0,0.0,0.0,L,4,-38.701762309738996,30.865032047517573
3,DIST,4.0,0.0,0.0,R,4,65.56519830977678,37.97736721600114
3,DIST,4.0,0.0,0.0,L,5,-37.75851728862166,41.1991745154401
3,DIST,4.0,0.0,0.0,R,5,65.69664115608069,38.029954740893814
3,DIST,4.0,0.0,0.0,L,6,-38.963453338226124,29.127407292332244
3,DIST,4.0,0.0,0.0,R,6,66.27525460525477,37.406607743716314
3,DIST,4.0,0.0,0.0,L,7,-39.083535255390274,40.94138674161591
3,DIST,4.0,0.0,0.0,R,7,65.77587290874573,37.58258345742626
3,DIST,4.0,0.0,0.0,L,8,-40.542772472546694,28.806381778068516
3,DIST,4.0,0.0,0.0,R,8,64.90949489866685,37.73435386638195
3,DIST,4.0,0.0,0.0,L,9,-40.45986331099954,26.165323271067706
3,DIST,4.0,0.0,0.0,R,9,65.56849213446142,38.041663377701425
3,DIST,4.0,0.0,0.0,L,10,-40.06108602789419,39.297863912006356
3,DIST,4.0,0.0,0.0,R,10,65.77494770127123,38.61665271638842
3,DIST,4.0,0.0,0.0,L,11,-40.28363968382174,28.229092268315767
